21,접두,코드,code,2026-05-25,수량,평균단가,현재가,수익률,매입금액,평가금액,평가손익,통화,환율,원평가,비중,"누적
비중"
1,krx:,krx:396500,396500,TIGER 반도체TOP10,1086,"45,101","48,000",6%,"48,979,686","52,128,000","3,148,314",WON,1,"52,128,000",30%,30%
2,krx:,krx:381170,381170,TIGER 미국테크TOP10 INDXX,1448,"34,490","34,980",1%,"49,941,520","50,651,040","709,520",WON,1,"50,651,040",29%,60%
3,krx:,krx:379800,379800,KODEX 미국S&P500,1994,25015,25615,0.02,49879910,51076310,1196400,WON,1,51076310,0.3,0.89
4,krx:,krx:243880,243880,TIGER 200IT레버리지,10,60351,574410,8.52,603510,5744100,5140590,WON,1,5744100,0.03,0.92
5,krx:,krx:487230,487230,KODEX 미국AI전력핵심인프라,125,19972,26535,0.33,2496500,3316875,820375,WON,1,3316875,0.02,0.94
6,krx:,krx:415920,415920,PLUS 글로벌희토류&전략자원생산기업,295,9049,9900,0.09,2669455,2920500,251045,WON,1,2920500,0.02,0.96
7,krx:,krx:122630,122630,KODEX 레버리지,10,34595,171400,3.95,345950,1714000,1368050,WON,1,1714000,0.01,0.97
8,krx:,krx:494310,494310,KODEX 반도체레버리지,10,46799,153320,2.28,467990,1533200,1065210,WON,1,1533200,0.01,0.98
9,krx:,krx:423920,423920,TIGER 미국필라델피아반도체레버리지(합성),10,59582,118610,0.99,595820,1186100,590280,WON,1,1186100,0.01,0.99
10,krx:,krx:488080,488080,TIGER 반도체TOP10레버리지,10,37773,81150,1.15,377730,811500,433770,WON,1,811500,0,0.99
11,krx:,krx:465610,465610,ACE 미국빅테크TOP7 PLUS레버리지(합성),10,36010,50935,0.41,360100,509350,149250,WON,1,509350,0,0.99
12,krx:,krx:418660,418660,TIGER 미국나스닥100레버리지(합성),10,32243,49470,0.53,322430,494700,172270,WON,1,494700,0,1
13,krx:,krx:461910,461910,PLUS 미국테크TOP10레버리지(합성),10,36615,47010,0.28,366150,470100,103950,WON,1,470100,0,1
14,krx:,krx:442320,442320,RISE 글로벌원자력,1,44132,46355,0.05,44132,46355,2223,WON,1,46355,0,1
15,krx:,krx:204480,204480,TIGER 차이나CSI300레버리지(합성),1,25475,33555,0.32,25475,33555,8080,WON,1,33555,0,1
16,krx:,krx:276000,276000,TIGER 글로벌자원생산기업(합성 H),1,20383,20430,0,20383,20430,47,WON,1,20430,0,1
17,krx:,krx:496770,496770,PLUS 글로벌방산,1,20902,18065,-0.14,20902,18065,-2837,WON,1,18065,0,1
18,krx:,krx:372330,372330,KODEX 차이나항셍테크,2,8502,8090,-0.05,17004,16180,-824,WON,1,16180,0,1
19,krx:,krx:414780,414780,TIGER 차이나과창판STAR50(합성),1,16175,16400,0.01,16175,16400,225,WON,1,16400,0,1
20,krx:,krx:475350,475350,RISE 버크셔포트폴리오TOP10,1,14130,15255,0.08,14130,15255,1125,WON,1,15255,0,1
21,krx:,krx:438320,438320,TIGER 차이나항셍테크레버리지(합성 H),1,10856,6085,-0.44,10856,6085,-4771,WON,1,6085,0,1
